timestamp,price
2025-05-19 00:00:00,112.6
2025-05-19 00:15:00,112.6
2025-05-19 00:30:00,112.6
2025-05-19 00:45:00,112.6
2025-05-19 01:00:00,104.64
2025-05-19 01:15:00,104.64
2025-05-19 01:30:00,104.64
2025-05-19 01:45:00,104.64
2025-05-19 02:00:00,105.88
2025-05-19 02:15:00,105.88
2025-05-19 02:30:00,105.88
2025-05-19 02:45:00,105.88
2025-05-19 03:00:00,103.43
2025-05-19 03:15:00,103.43
2025-05-19 03:30:00,103.43
2025-05-19 03:45:00,103.43
2025-05-19 04:00:00,105.09
2025-05-19 04:15:00,105.09
2025-05-19 04:30:00,105.09
2025-05-19 04:45:00,105.09
2025-05-19 05:00:00,115.59
2025-05-19 05:15:00,115.59
2025-05-19 05:30:00,115.59
2025-05-19 05:45:00,115.59
2025-05-19 06:00:00,140.71
2025-05-19 06:15:00,140.71
2025-05-19 06:30:00,140.71
2025-05-19 06:45:00,140.71
2025-05-19 07:00:00,138.38
2025-05-19 07:15:00,138.38
2025-05-19 07:30:00,138.38
2025-05-19 07:45:00,138.38
2025-05-19 08:00:00,112.87
2025-05-19 08:15:00,112.87
2025-05-19 08:30:00,112.87
2025-05-19 08:45:00,112.87
2025-05-19 09:00:00,89.55
2025-05-19 09:15:00,89.55
2025-05-19 09:30:00,89.55
2025-05-19 09:45:00,89.55
2025-05-19 10:00:00,66.39
2025-05-19 10:15:00,66.39
2025-05-19 10:30:00,66.39
2025-05-19 10:45:00,66.39
2025-05-19 11:00:00,42.43
2025-05-19 11:15:00,42.43
2025-05-19 11:30:00,42.43
2025-05-19 11:45:00,42.43
2025-05-19 12:00:00,39.43
2025-05-19 12:15:00,39.43
2025-05-19 12:30:00,39.43
2025-05-19 12:45:00,39.43
2025-05-19 13:00:00,34.38
2025-05-19 13:15:00,34.38
2025-05-19 13:30:00,34.38
2025-05-19 13:45:00,34.38
2025-05-19 14:00:00,45.32
2025-05-19 14:15:00,45.32
2025-05-19 14:30:00,45.32
2025-05-19 14:45:00,45.32
2025-05-19 15:00:00,64.78
2025-05-19 15:15:00,64.78
2025-05-19 15:30:00,64.78
2025-05-19 15:45:00,64.78
2025-05-19 16:00:00,104.49
2025-05-19 16:15:00,104.49
2025-05-19 16:30:00,104.49
2025-05-19 16:45:00,104.49
2025-05-19 17:00:00,116.93
2025-05-19 17:15:00,116.93
2025-05-19 17:30:00,116.93
2025-05-19 17:45:00,116.93
2025-05-19 18:00:00,123.38
2025-05-19 18:15:00,123.38
2025-05-19 18:30:00,123.38
2025-05-19 18:45:00,123.38
2025-05-19 19:00:00,165.39
2025-05-19 19:15:00,165.39
2025-05-19 19:30:00,165.39
2025-05-19 19:45:00,165.39
2025-05-19 20:00:00,276.23
2025-05-19 20:15:00,276.23
2025-05-19 20:30:00,276.23
2025-05-19 20:45:00,276.23
2025-05-19 21:00:00,180.13
2025-05-19 21:15:00,180.13
2025-05-19 21:30:00,180.13
2025-05-19 21:45:00,180.13
2025-05-19 22:00:00,137.08
2025-05-19 22:15:00,137.08
2025-05-19 22:30:00,137.08
2025-05-19 22:45:00,137.08
2025-05-19 23:00:00,118.87
2025-05-19 23:15:00,118.87
2025-05-19 23:30:00,118.87
2025-05-19 23:45:00,118.87
