timestamp,price
2025-05-04 00:00:00,57.51
2025-05-04 00:15:00,57.51
2025-05-04 00:30:00,57.51
2025-05-04 00:45:00,57.51
2025-05-04 01:00:00,50.53
2025-05-04 01:15:00,50.53
2025-05-04 01:30:00,50.53
2025-05-04 01:45:00,50.53
2025-05-04 02:00:00,54.23
2025-05-04 02:15:00,54.23
2025-05-04 02:30:00,54.23
2025-05-04 02:45:00,54.23
2025-05-04 03:00:00,12.07
2025-05-04 03:15:00,12.07
2025-05-04 03:30:00,12.07
2025-05-04 03:45:00,12.07
2025-05-04 04:00:00,10.36
2025-05-04 04:15:00,10.36
2025-05-04 04:30:00,10.36
2025-05-04 04:45:00,10.36
2025-05-04 05:00:00,8.64
2025-05-04 05:15:00,8.64
2025-05-04 05:30:00,8.64
2025-05-04 05:45:00,8.64
2025-05-04 06:00:00,4.4
2025-05-04 06:15:00,4.4
2025-05-04 06:30:00,4.4
2025-05-04 06:45:00,4.4
2025-05-04 07:00:00,-1.57
2025-05-04 07:15:00,-1.57
2025-05-04 07:30:00,-1.57
2025-05-04 07:45:00,-1.57
2025-05-04 08:00:00,-10.2
2025-05-04 08:15:00,-10.2
2025-05-04 08:30:00,-10.2
2025-05-04 08:45:00,-10.2
2025-05-04 09:00:00,-12.71
2025-05-04 09:15:00,-12.71
2025-05-04 09:30:00,-12.71
2025-05-04 09:45:00,-12.71
2025-05-04 10:00:00,-4.72
2025-05-04 10:15:00,-4.72
2025-05-04 10:30:00,-4.72
2025-05-04 10:45:00,-4.72
2025-05-04 11:00:00,-2.29
2025-05-04 11:15:00,-2.29
2025-05-04 11:30:00,-2.29
2025-05-04 11:45:00,-2.29
2025-05-04 12:00:00,0.84
2025-05-04 12:15:00,0.84
2025-05-04 12:30:00,0.84
2025-05-04 12:45:00,0.84
2025-05-04 13:00:00,-2.52
2025-05-04 13:15:00,-2.52
2025-05-04 13:30:00,-2.52
2025-05-04 13:45:00,-2.52
2025-05-04 14:00:00,-3.17
2025-05-04 14:15:00,-3.17
2025-05-04 14:30:00,-3.17
2025-05-04 14:45:00,-3.17
2025-05-04 15:00:00,1.53
2025-05-04 15:15:00,1.53
2025-05-04 15:30:00,1.53
2025-05-04 15:45:00,1.53
2025-05-04 16:00:00,10.33
2025-05-04 16:15:00,10.33
2025-05-04 16:30:00,10.33
2025-05-04 16:45:00,10.33
2025-05-04 17:00:00,55.66
2025-05-04 17:15:00,55.66
2025-05-04 17:30:00,55.66
2025-05-04 17:45:00,55.66
2025-05-04 18:00:00,90.46
2025-05-04 18:15:00,90.46
2025-05-04 18:30:00,90.46
2025-05-04 18:45:00,90.46
2025-05-04 19:00:00,100.49
2025-05-04 19:15:00,100.49
2025-05-04 19:30:00,100.49
2025-05-04 19:45:00,100.49
2025-05-04 20:00:00,110.99
2025-05-04 20:15:00,110.99
2025-05-04 20:30:00,110.99
2025-05-04 20:45:00,110.99
2025-05-04 21:00:00,110.11
2025-05-04 21:15:00,110.11
2025-05-04 21:30:00,110.11
2025-05-04 21:45:00,110.11
2025-05-04 22:00:00,99.87
2025-05-04 22:15:00,99.87
2025-05-04 22:30:00,99.87
2025-05-04 22:45:00,99.87
2025-05-04 23:00:00,86.37
2025-05-04 23:15:00,86.37
2025-05-04 23:30:00,86.37
2025-05-04 23:45:00,86.37
